date,weight
2010-8-18,159.0
2010-8-29,159.5
2010-9-15,158.0
2010-11-20,155.5
2011-1-21,149.5
2011-4-16,150.5
2011-5-7,147.0
2011-5-25,143.0
2011-6-2,138.0
2011-7-1,132.5
2011-8-7,134.0
2011-8-18,130.5
2011-9-18,131.0
2011-10-25,133.0
2011-11-21,132.5
2011-12-18,129.5
2012-1-19,131.5
2012-2-20,132.5
2012-3-26,134.5
2012-4-25,135.5
2012-5-22,134.0
2012-6-28,134.5
2012-7-28,137.5
2012-8-30,134.5
2012-9-29,131.0
2012-10-27,132.5
2012-11-28,136.0
2012-12-30,134.5
2013-1-30,135.5
2013-2-28,135.0
2013-3-28,134.5
2013-4-28,135.0
2013-5-28,135.0
2013-6-30,136.5
2013-7-30,139.0
2013-8-30,139.0
2013-9-30,140.5
2013-10-30,138.5
2013-11-30,139.5
2013-12-31,139.0
2014-1-31,140.0
2014-2-31,140.0
2014-3-31,140.0
2014-4-30,144.5
2014-6-30,143.0
2014-7-31,144.0
